SMILES,Caption
CC(=O)SC1=CC=C(C=C1)C#CC#CC2=CC=C(C=C2)SC(=O)C,"This molecule consists of two benzene rings connected by a diacetylene chain, and has S-Methyl thioacetate anchor groups attached to each benzene ring."
CC(=O)SC1=CC=C(C=C1)C#CC#CC2=CC=C(C=C2)SC(=O)C,"This molecule has two benzene rings linked via a diacetylene chain, and contains S-Methyl thioacetate groups on both benzene rings as anchors."
CC(=O)SC1=CC=C(C=C1)C#CC#CC2=CC=C(C=C2)SC(=O)C,"This molecule contains two benzene rings joined by a diacetylene bonds, with S-Methyl thioacetate on each benzene ring serving as anchor groups."
CSC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(SC)C=C3)S2)C=C1,"This molecule consists of a thiophene ring connects the two benzene rings via carbon-carbon triple bonds, and each benzene ring has a Methylthio anchor group attached."
CSC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(SC)C=C3)S2)C=C1,"This molecule consists of two benzene rings and a thiophene ring connected by carbon-carbon triple bonds, with methylthio groups on the benzene rings serving as anchor groups."
CSC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(SC)C=C3)S2)C=C1,"This molecule has a central thiophene ring linking two benzene rings through carbon-carbon triple bonds, with each benzene ring has a methylthio moiety acting as anchoring groupsk."
CNC1=CC2=CC3=C(C=C2C=C1)C=C(C=C3)NC,"This molecule consists of an anthracene backbone with two methylamino groups, which serve as anchoring groups, attached at both ends."
CNC1=CC2=CC3=C(C=C2C=C1)C=C(C=C3)NC,"This molecule has a backbone formed by an anthracene, with methylamino groups acting as anchoring groups."
CNC1=CC2=CC3=C(C=C2C=C1)C=C(C=C3)NC,"This molecule contains an anthracene core, with methylamino groups serving as anchoring groups, attached at the outermost positions."
O=C(O)C1=CC=C2C=C3C=C(C(=O)O)C=CC3=CC2=C1,"This molecule has a anthracene core with carboxyl groups attached to the 1st and 6th carbons, acting as potential functional anchor."
O=C(O)C1=CC=C2C=C3C=C(C(=O)O)C=CC3=CC2=C1,"This molecule features a anthracene framework where carboxyl groups bond to symmetric positions of the anthracene rings, serving as anchor groups."
O=C(O)C1=CC=C2C=C3C=C(C(=O)O)C=CC3=CC2=C1,"This molecule uses a anthracene skeleton with carboxyl groups connecting to symmetric sites, functioning as potential functional anchor points."
C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,"This molecule has a naphthalene core with carboxyl groups attached to symmetric positions, acting as anchor groups."
C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,"This molecule features a naphthalene framework where carboxyl groups bond to symmetric sites of the naphthalene rings, serving as anchor groups."
C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,"This molecule uses a naphthalene skeleton with carboxyl groups connecting to symmetric positions, functioning as anchor groups."
